Treatment,Colony,BeeID,Trial,Num not reach feeder 9,Num reach feeder 9,NumDistinctArms
Balanced,Balanced_Colony04,4Rep3,6,0,13,8
Balanced,Balanced_Colony04,4Rep3,7,0,16,8
Balanced,Balanced_Colony04,4Rep3,8,0,10,8
Balanced,Balanced_Colony04,4Rep4,1,0,16,8
Balanced,Balanced_Colony04,4Rep4,2,1,39,8
Balanced,Balanced_Colony04,4Rep4,3,2,27,8
Balanced,Balanced_Colony04,4Rep4,4,3,20,8
Balanced,Balanced_Colony04,4Rep4,5,4,12,8
Balanced,Balanced_Colony04,4Rep4,6,0,11,8
Balanced,Balanced_Colony04,4Rep4,7,0,30,8
Balanced,Balanced_Colony04,4Rep4,8,0,24,8
Balanced,Balanced_Colony04,4Rep5,1,0,26,8
Balanced,Balanced_Colony04,4Rep5,2,1,21,8
Balanced,Balanced_Colony04,4Rep5,3,0,13,8
Balanced,Balanced_Colony04,4Rep5,4,0,15,8
Balanced,Balanced_Colony04,4Rep5,5,0,12,8
Balanced,Balanced_Colony04,4Rep5,6,0,12,8
Balanced,Balanced_Colony04,4Rep5,7,1,19,8
Balanced,Balanced_Colony04,4Rep5,8,0,18,8
Balanced,Balanced_Colony04,4Rep6,1,0,13,8
Balanced,Balanced_Colony04,4Rep6,2,0,14,8
Balanced,Balanced_Colony04,4Rep6,3,0,32,8
Balanced,Balanced_Colony04,4Rep6,4,0,14,8
Balanced,Balanced_Colony04,4Rep6,5,0,17,8
Balanced,Balanced_Colony04,4Rep6,6,0,17,8
Balanced,Balanced_Colony04,4Rep6,7,0,19,8
Balanced,Balanced_Colony04,4Rep6,8,0,18,8
Balanced,Balanced_Colony05,5Rep1,1,0,19,8
Balanced,Balanced_Colony05,5Rep1,2,0,18,8
Balanced,Balanced_Colony05,5Rep1,3,2,27,8
Balanced,Balanced_Colony05,5Rep1,4,3,16,8
Balanced,Balanced_Colony05,5Rep1,5,1,13,8
Balanced,Balanced_Colony05,5Rep1,6,1,14,8
Balanced,Balanced_Colony05,5Rep1,7,2,18,8
Balanced,Balanced_Colony05,5Rep1,8,3,19,8
Balanced,Balanced_Colony05,5Rep2,1,0,15,8
Balanced,Balanced_Colony05,5Rep2,2,0,13,8
Balanced,Balanced_Colony05,5Rep2,3,0,14,8
Balanced,Balanced_Colony05,5Rep2,4,0,13,8
Balanced,Balanced_Colony05,5Rep2,5,1,25,8
Balanced,Balanced_Colony05,5Rep2,6,0,12,8
Balanced,Balanced_Colony05,5Rep2,7,0,14,8
Balanced,Balanced_Colony05,5Rep2,8,0,22,8
Balanced,Balanced_Colony05,5Rep3,1,0,52,8
Balanced,Balanced_Colony05,5Rep3,2,1,33,8
Balanced,Balanced_Colony05,5Rep3,3,0,27,8
Balanced,Balanced_Colony05,5Rep3,4,1,21,8
Balanced,Balanced_Colony05,5Rep3,5,0,15,8
Balanced,Balanced_Colony05,5Rep3,6,0,16,8
Balanced,Balanced_Colony05,5Rep3,7,1,19,8
Balanced,Balanced_Colony05,5Rep3,8,1,9,8
Balanced,Balanced_Colony05,5Rep4,1,0,12,8
Balanced,Balanced_Colony05,5Rep4,2,2,24,8
Balanced,Balanced_Colony05,5Rep4,3,0,15,8
Balanced,Balanced_Colony05,5Rep4,4,0,22,8
Balanced,Balanced_Colony05,5Rep4,5,9,16,8
Balanced,Balanced_Colony05,5Rep4,6,1,16,8
Balanced,Balanced_Colony05,5Rep4,7,1,14,8
Balanced,Balanced_Colony05,5Rep4,8,0,18,8
Balanced,Balanced_Colony05,5Rep5,1,0,10,8
Balanced,Balanced_Colony05,5Rep5,2,0,29,8
Balanced,Balanced_Colony05,5Rep5,3,8,19,8
Balanced,Balanced_Colony05,5Rep5,4,0,13,8
