Treatment,Colony,BeeID,Trial,nL,nR,nSwitch
Ratio5,Colony1_872,Colony1_872Rep3,8,0,10,0
Ratio5,Colony1_872,Colony1_872Rep4,1,10,2,3
Ratio5,Colony1_872,Colony1_872Rep4,2,10,11,8
Ratio5,Colony1_872,Colony1_872Rep4,3,17,9,14
Ratio5,Colony1_872,Colony1_872Rep4,4,15,14,13
Ratio5,Colony1_872,Colony1_872Rep4,5,9,8,5
Ratio5,Colony1_872,Colony1_872Rep4,6,12,7,2
Ratio5,Colony1_872,Colony1_872Rep4,7,21,13,14
Ratio5,Colony1_872,Colony1_872Rep4,8,9,4,4
Ratio5,Colony1_872,Colony1_872Rep5,1,10,2,4
Ratio5,Colony1_872,Colony1_872Rep5,2,16,9,9
Ratio5,Colony1_872,Colony1_872Rep5,3,10,5,4
Ratio5,Colony1_872,Colony1_872Rep5,4,5,3,2
Ratio5,Colony1_872,Colony1_872Rep5,5,9,2,4
Ratio5,Colony1_872,Colony1_872Rep5,6,9,2,2
Ratio5,Colony1_872,Colony1_872Rep5,7,12,5,3
Ratio5,Colony1_872,Colony1_872Rep5,8,7,3,3
Ratio5,Colony1_872,Colony1_872Rep6,1,10,10,6
Ratio5,Colony1_872,Colony1_872Rep6,2,2,10,4
Ratio5,Colony1_872,Colony1_872Rep6,3,6,5,3
Ratio5,Colony1_872,Colony1_872Rep6,4,16,8,10
Ratio5,Colony1_872,Colony1_872Rep6,5,6,3,1
Ratio5,Colony1_872,Colony1_872Rep6,6,21,2,3
Ratio5,Colony1_872,Colony1_872Rep6,7,6,1,2
Ratio5,Colony1_872,Colony1_872Rep6,8,13,2,3
Ratio5,Colony2_809,Colony2_809Rep1,1,12,7,8
Ratio5,Colony2_809,Colony2_809Rep1,2,1,9,2
Ratio5,Colony2_809,Colony2_809Rep1,3,12,16,8
Ratio5,Colony2_809,Colony2_809Rep1,4,17,14,16
Ratio5,Colony2_809,Colony2_809Rep1,5,7,7,6
Ratio5,Colony2_809,Colony2_809Rep1,6,8,4,7
Ratio5,Colony2_809,Colony2_809Rep1,7,21,8,15
Ratio5,Colony2_809,Colony2_809Rep1,8,14,5,8
Ratio5,Colony2_809,Colony2_809Rep2,1,7,8,5
Ratio5,Colony2_809,Colony2_809Rep2,2,8,13,7
Ratio5,Colony2_809,Colony2_809Rep2,3,8,1,2
Ratio5,Colony2_809,Colony2_809Rep2,4,8,2,2
Ratio5,Colony2_809,Colony2_809Rep2,5,6,2,2
Ratio5,Colony2_809,Colony2_809Rep2,6,7,9,7
Ratio5,Colony2_809,Colony2_809Rep2,7,3,3,2
Ratio5,Colony2_809,Colony2_809Rep2,8,6,2,4
Ratio5,Colony2_809,Colony2_809Rep3,1,11,3,5
Ratio5,Colony2_809,Colony2_809Rep3,2,7,3,4
Ratio5,Colony2_809,Colony2_809Rep3,3,7,4,6
Ratio5,Colony2_809,Colony2_809Rep3,4,8,0,0
Ratio5,Colony2_809,Colony2_809Rep3,5,15,3,1
Ratio5,Colony2_809,Colony2_809Rep3,6,20,6,8
Ratio5,Colony2_809,Colony2_809Rep3,7,10,2,4
Ratio5,Colony2_809,Colony2_809Rep3,8,10,3,5
Ratio5,Colony2_809,Colony2_809Rep4,1,11,8,9
Ratio5,Colony2_809,Colony2_809Rep4,2,9,4,5
