Treatment,ColonyID,TestingDate,BeeID,Trial number,Visit01,Visit02,Visit03,Visit04,Visit05,Visit06,Visit07,Visit08,Visit09,Visit10,Visit11,Visit12,Visit13,Visit14,Visit15,Visit16,Visit17,Visit18,Visit19,Visit20,Visit21,Visit22,Visit23,Visit24,Visit25,Visit26,Visit27,Visit28,Visit29,Visit30,Visit31,Visit32,Visit33,Visit34,Visit35,Visit36,Visit37,Visit38,Visit39,Visit40,Visit41,Visit42,Visit43,Visit44,Visit45,Visit46,Visit47,Visit48,Visit49,Visit50,Visit51,Visit52,Visit53,Visit54,Visit55,Visit56,Visit57,Visit58,Visit59,Visit60,NumDistinctArms,RowRelativeNumber,TotalArms,NumSame,NumReward,NumRevisited,NumTurnsL1,NumTurnsL2,NumTurnsL3,NumTurnsR1,NumTurnsR2,NumTurnsR3,NumTurns4,NumReentries0,Total1s,Total 2s,Total 3s,Prop 1s,Prop 2s,Prop 3s,PropO4,PropOS,FirstMistake,NumSwitches,TotalL,TotalR,TotalLorR,Change direction prop,Proportion R,Prop R bias,Prop side bias,Num not reach feeder 9,Num reach feeder 9,Season,New or Used floor,EmergenceDate,AgeDays,AgeRelativeToColony
Unbalanced,Unbalanced_Colony09,2022-05-12,9Rep5,4,2,7,4,7,2,6,1,5,8,6,8,4,7,2,6,1,4,6,1,4,1,4,5,8,4,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,One,27,0,8,19,1,3,12,0,1,4,5,0,1,4,16,0.0384615385,0.1538461538,0.6153846154,0.1923076923,0,4,6,16,5,21,0.3,0.2380952381,-0.261904762,0.2619047619,,,Spring,,2022-04-18,24,0.8333333333
Unbalanced,Unbalanced_Colony09,2022-05-12,9Rep5,4,10.120376,9.620099,9.448858,10.24686,11.192704,11.728948,10.820441,9.246333,10.391948,9.579081,10.782382,10.346663,9.495345,9.319805,9.822041,9.59557,11.829825,11.748211,8.942579,9.477428,11.147402,5.2881,10.457299,10.006073,8.964089,9.466171,9.91413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Two,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,24,Spring,,2022-04-18,24,0.8333333333
Unbalanced,Unbalanced_Colony09,2022-05-12,9Rep5,4,Reward,Reward,Reward,Previsited,Previsited,Reward,Reward,Reward,Reward,Previsited,Previsited,Previsited,Previsited,Previsited,Previsited,Previsited,Previsited,Previsited,Previsited,Previsited,Previsited,Previsited,Previsited,Previsited,Previsited,Previsited,Reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spring,,2022-04-18,24,0.8333333333
Unbalanced,Unbalanced_Colony09,2022-05-12,9Rep5,4,,R3,R3,L3,L3,O4,L3,O4,L3,R2,L2,O4,L3,L3,O4,L3,L3,L2,L3,L3,R3,L3,L1,L3,O4,L2,R3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Four,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spring,,2022-04-18,24,0.8333333333
Unbalanced,Unbalanced_Colony09,2022-05-12,9Rep5,5,7,1,7,1,2,3,1,3,5,8,2,7,4,5,3,2,4,7,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,One,20,0,8,12,4,6,2,1,4,2,0,0,5,10,4,0.2631578947,0.5263157895,0.2105263158,0,0,3,9,12,7,19,0.5,0.3684210526,-0.131578947,0.1315789474,,,Spring,,2022-04-18,24,0.8333333333
Unbalanced,Unbalanced_Colony09,2022-05-12,9Rep5,5,11.857721,11.443327,11.657919,11.393188,10.335579,11.099878,11.281812,11.11355,11.522026,11.432761,11.236106,10,10,10,10,10,10,6,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Two,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,19,Spring,,2022-04-18,24,0.8333333333
Unbalanced,Unbalanced_Colony09,2022-05-12,9Rep5,5,Reward,Reward,Previsited,Previsited,Reward,Reward,Previsited,Previsited,Reward,Reward,Previsited,Previsited,Reward,Previsited,Previsited,Previsited,Previsited,Previsited,Previsited,Reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spring,,2022-04-18,24,0.8333333333
Unbalanced,Unbalanced_Colony09,2022-05-12,9Rep5,5,,L2,R2,L2,L1,L1,R2,L2,L2,L3,L2,R3,R3,L1,R2,R1,L2,L3,L1,R2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Four,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spring,,2022-04-18,24,0.8333333333
Unbalanced,Unbalanced_Colony09,2022-05-12,9Rep5,6,4,3,8,1,3,8,2,7,8,1,5,1,2,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,One,15,0,8,7,4,4,0,1,0,3,2,0,5,4,3,0.3571428571,0.2857142857,0.2142857143,0.1428571429,0,5,5,8,4,12,0.4545454545,0.3333333333,-0.166666667,0.1666666667,,,Spring,,2022-04-18,24,0.8333333333
Unbalanced,Unbalanced_Colony09,2022-05-12,9Rep5,6,11.46511,10.267897,10.385756,10.373982,11.425461,9.941677,11.774579,11.281812,10.36714,11.686843,10.029228,9.913343,10.34687,11.01965,9.776469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Two,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,Spring,,2022-04-18,24,0.8333333333
Unbalanced,Unbalanced_Colony09,2022-05-12,9Rep5,6,Reward,Reward,Reward,Reward,Previsited,Previsited,Reward,Reward,Previsited,Previsited,Reward,Previsited,Previsited,Previsited,Reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spring,,2022-04-18,24,0.8333333333
Unbalanced,Unbalanced_Colony09,2022-05-12,9Rep5,6,,R1,R3,L1,L2,R3,L2,R3,L1,L1,O4,O4,L1,L2,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Four,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spring,,2022-04-18,24,0.8333333333
Unbalanced,Unbalanced_Colony09,2022-05-12,9Rep5,7,6,3,4,1,6,1,4,6,7,3,5,6,8,3,7,5,6,8,4,5,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,One,22,0,8,14,5,5,4,0,1,3,3,0,5,6,7,0.2380952381,0.2857142857,0.3333333333,0.1428571429,0,5,5,14,4,18,0.2941176471,0.2222222222,-0.277777778,0.2777777778,,,Spring,,2022-04-18,24,0.8333333333
Unbalanced,Unbalanced_Colony09,2022-05-12,9Rep5,7,10.742899,11.375809,11.017952,11.771466,9.687458,10.865689,11.155879,10.373455,10.91884,10.628799,10.429526,10.999909,11.688844,10.448628,11.651764,9.876051,11.556705,10.773068,11.057281,9.329714,11.913547,10.162891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Two,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22,Spring,,2022-04-18,24,0.8333333333
Unbalanced,Unbalanced_Colony09,2022-05-12,9Rep5,7,Reward,Reward,Reward,Reward,Previsited,Previsited,Previsited,Previsited,Reward,Previsited,Reward,Previsited,Reward,Previsited,Previsited,Previsited,Previsited,Previsited,Previsited,Previsited,Previsited,Reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spring,,2022-04-18,24,0.8333333333
Unbalanced,Unbalanced_Colony09,2022-05-12,9Rep5,7,,R3,L1,R3,R3,L3,L3,L2,L1,O4,L2,L1,L2,L3,O4,R2,L1,L2,O4,L1,L2,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Four,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spring,,2022-04-18,24,0.8333333333
