Treatment,ColonyID,TestingDate,BeeID,Trial number,Finish time (s),Total distance (cm),New or Used,Notes
Balanced,Balanced_Colony01,02_12_2021,Colony1_867Rep3,5,119.62,158.733355,,
Balanced,Balanced_Colony01,02_12_2021,Colony1_867Rep3,6,107.46,129.392015,,
Balanced,Balanced_Colony01,02_12_2021,Colony1_867Rep3,7,132.32,189.871257,,
Balanced,Balanced_Colony01,02_12_2021,Colony1_867Rep3,8,119.4,137.974778,,
Balanced,Balanced_Colony01,06_12_2021,Colony1_867Rep4,1,139.28,321.949217,,
Balanced,Balanced_Colony01,06_12_2021,Colony1_867Rep4,2,141.06,213.449553,,
Balanced,Balanced_Colony01,06_12_2021,Colony1_867Rep4,3,74.14,130.733013,,
Balanced,Balanced_Colony01,06_12_2021,Colony1_867Rep4,4,81.88,145.103929,,
Balanced,Balanced_Colony01,06_12_2021,Colony1_867Rep4,5,107.14,109.297556,,
Balanced,Balanced_Colony01,06_12_2021,Colony1_867Rep4,6,128.88,198.804666,,
Balanced,Balanced_Colony01,06_12_2021,Colony1_867Rep4,7,105.4,201.641447,,
Balanced,Balanced_Colony01,06_12_2021,Colony1_867Rep4,8,71.74,83.4155,,
Balanced,Balanced_Colony01,06_12_2021,Colony1_867Rep5,1,195.84,247.210038,,
Balanced,Balanced_Colony01,06_12_2021,Colony1_867Rep5,2,235.4,256.918541,,
Balanced,Balanced_Colony01,06_12_2021,Colony1_867Rep5,3,113.46,113.599639,,
Balanced,Balanced_Colony01,06_12_2021,Colony1_867Rep5,4,115.02,116.656864,,
Balanced,Balanced_Colony01,06_12_2021,Colony1_867Rep5,5,178.22,194.822722,,
Balanced,Balanced_Colony01,06_12_2021,Colony1_867Rep5,6,158.3,152.46459,,
Balanced,Balanced_Colony01,06_12_2021,Colony1_867Rep5,7,152.74,169.092074,,
Balanced,Balanced_Colony01,06_12_2021,Colony1_867Rep5,8,155.4,172.195333,,
Balanced,Balanced_Colony01,08_12_2021,Colony1_867Rep6,1,201.28,171.70119,,
Balanced,Balanced_Colony01,08_12_2021,Colony1_867Rep6,2,118.52,157.532744,,
Balanced,Balanced_Colony01,08_12_2021,Colony1_867Rep6,3,129.4,208.897866,,Only 7 arms
Balanced,Balanced_Colony01,08_12_2021,Colony1_867Rep6,4,211.58,354.203598,,
Balanced,Balanced_Colony01,08_12_2021,Colony1_867Rep6,5,88.18,155.759746,,
Balanced,Balanced_Colony01,08_12_2021,Colony1_867Rep6,6,65.38,98.991066,,
Balanced,Balanced_Colony01,08_12_2021,Colony1_867Rep6,7,153.9,234.85557,,
Balanced,Balanced_Colony01,08_12_2021,Colony1_867Rep6,8,131.2,210.986173,,
Balanced,Balanced_Colony02,01_02_2022,Colony2_39Rep1,1,111.9,269.48983,,
Balanced,Balanced_Colony02,01_02_2022,Colony2_39Rep1,2,90.2,150.398294,,
Balanced,Balanced_Colony02,01_02_2022,Colony2_39Rep1,3,78.48,101.238994,,
Balanced,Balanced_Colony02,01_02_2022,Colony2_39Rep1,4,134.54,290.792682,,
Balanced,Balanced_Colony02,01_02_2022,Colony2_39Rep1,5,90.38,174.272664,,
Balanced,Balanced_Colony02,01_02_2022,Colony2_39Rep1,6,75.5,103.934278,,
Balanced,Balanced_Colony02,01_02_2022,Colony2_39Rep1,7,75.46,99.236324,,
Balanced,Balanced_Colony02,01_02_2022,Colony2_39Rep1,8,83.94,132.999253,,
Balanced,Balanced_Colony02,01_02_2022,Colony2_39Rep2,1,103.4,158.812098,,
Balanced,Balanced_Colony02,01_02_2022,Colony2_39Rep2,2,156.06,331.068209,,
Balanced,Balanced_Colony02,01_02_2022,Colony2_39Rep2,3,125.5,235.26628,,
Balanced,Balanced_Colony02,01_02_2022,Colony2_39Rep2,4,107.48,173.4292,,
Balanced,Balanced_Colony02,01_02_2022,Colony2_39Rep2,5,119.2,140.571857,,
Balanced,Balanced_Colony02,01_02_2022,Colony2_39Rep2,6,101.8,194.272077,,
Balanced,Balanced_Colony02,01_02_2022,Colony2_39Rep2,7,73.94,103.343841,,
Balanced,Balanced_Colony02,01_02_2022,Colony2_39Rep2,8,83.14,111.004553,,
Balanced,Balanced_Colony02,02_02_2022,Colony2_39Rep3,1,154.1,302.443759,,
Balanced,Balanced_Colony02,02_02_2022,Colony2_39Rep3,2,132.68,183.815708,,
Balanced,Balanced_Colony02,02_02_2022,Colony2_39Rep3,3,138.44,133.937106,,
