Treatment,Colony,BeeID,Trial,n1Switch,nTotalSwitch
Ratio5,Colony5_62,Colony5_62Rep1,2,2,11
Ratio5,Colony5_62,Colony5_62Rep1,3,1,19
Ratio5,Colony5_62,Colony5_62Rep1,4,0,10
Ratio5,Colony5_62,Colony5_62Rep1,5,2,23
Ratio5,Colony5_62,Colony5_62Rep1,6,1,28
Ratio5,Colony5_62,Colony5_62Rep1,7,1,13
Ratio5,Colony5_62,Colony5_62Rep1,8,6,11
Ratio5,Colony5_62,Colony5_62Rep2,1,1,20
Ratio5,Colony5_62,Colony5_62Rep2,2,1,10
Ratio5,Colony5_62,Colony5_62Rep2,3,7,12
Ratio5,Colony5_62,Colony5_62Rep2,4,6,10
Ratio5,Colony5_62,Colony5_62Rep2,5,1,10
Ratio5,Colony5_62,Colony5_62Rep2,6,6,12
Ratio5,Colony5_62,Colony5_62Rep2,7,4,12
Ratio5,Colony5_62,Colony5_62Rep2,8,7,9
Ratio5,Colony5_62,Colony5_62Rep3,1,4,41
Ratio5,Colony5_62,Colony5_62Rep3,2,1,8
Ratio5,Colony5_62,Colony5_62Rep3,3,2,32
Ratio5,Colony5_62,Colony5_62Rep3,4,2,11
Ratio5,Colony5_62,Colony5_62Rep3,5,3,16
Ratio5,Colony5_62,Colony5_62Rep3,6,1,22
Ratio5,Colony5_62,Colony5_62Rep3,7,1,23
Ratio5,Colony5_62,Colony5_62Rep3,8,3,38
Ratio5,Colony5_62,Colony5_62Rep4,1,10,38
Ratio5,Colony5_62,Colony5_62Rep4,2,5,15
Ratio5,Colony5_62,Colony5_62Rep4,3,1,17
Ratio5,Colony5_62,Colony5_62Rep4,4,4,21
Ratio5,Colony5_62,Colony5_62Rep4,5,4,12
Ratio5,Colony5_62,Colony5_62Rep4,6,4,11
