p1,p_flip,p0_same,p1_uncond,p2_uncond,p3_uncond,p4_uncond,mean_visits,sem_visits,mean_first_mistake_or_9,sem_first_mistake_or_9,prop_complete,prop_perfect,n_sims,log10_mean_visits
0.25,0.45,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,19.649875,0.087646819287201,4.815125,0.0163045701928331,1.0,0.00575,8000,1.2933597920151143
0.25,0.46,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,19.83425,0.08696701256710418,4.809125,0.016112694348300975,1.0,0.00575,8000,1.2974157829790802
0.25,0.47000000000000003,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,19.769375,0.08805729043907612,4.789125,0.01612613091566491,1.0,0.005125,8000,1.2959929395037695
0.25,0.48,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,19.8605,0.08869886360489969,4.780625,0.016282716051910024,1.0,0.005125,8000,1.2979901779210705
0.25,0.49,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,19.90525,0.08740434911786764,4.774,0.01615330821134703,1.0,0.00425,8000,1.298967636476191
0.25,0.5,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,19.999125,0.0882954347051454,4.78025,0.01603986134078094,1.0,0.005375,8000,1.3010109948647524
0.25,0.51,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,19.9525,0.08847833220997575,4.765875,0.01614706324702151,1.0,0.006875,8000,1.2999973194805041
0.25,0.52,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,20.0015,0.0889690348092771,4.765375,0.01612581839548742,1.0,0.003375,8000,1.3010625665287319
0.25,0.53,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,19.901125,0.08753268011467422,4.739375,0.016069022305560694,1.0,0.005,8000,1.2988776275394684
0.25,0.54,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,20.005625,0.08849306073159963,4.745125,0.016172605261428746,1.0,0.005,8000,1.3011521238135504
0.25,0.55,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,20.087125,0.08869286940015064,4.71275,0.015949105819278844,1.0,0.00475,8000,1.3029177821447226
0.25,0.56,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,20.227625,0.08934766705473002,4.72625,0.016242593540383717,1.0,0.00475,8000,1.3059448936484475
0.25,0.5700000000000001,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,20.133625,0.08961030169959931,4.71475,0.016071678258438207,1.0,0.004375,8000,1.3039219753736409
0.25,0.58,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,20.38225,0.08996334555045365,4.734875,0.016092866100831524,1.0,0.004125,8000,1.3092521241575383
0.25,0.59,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,20.28325,0.08923685663312116,4.70925,0.016092402721957673,1.0,0.004625,8000,1.3071375435597572
0.25,0.6,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,20.25225,0.09002463160976865,4.680125,0.015845172979024776,1.0,0.00375,8000,1.3064732798124894
